formula,depth,n_nodes,sigma,noise_model,rmse,rmse_std,bits_of_precision,failure_rate,has_complex_intermediates
x/y,14,53,0.05,additive_gaussian,0.354760747146554,0.08163353029150851,3.583987249166294,0.19466666666666665,1
x/y,14,53,0.05,multiplicative_gaussian,0.38264117113090385,0.4481231027711728,3.4748415271882998,0.9874166666666667,1
x/y,14,53,0.05,1_over_f,0.2748422943888432,0.19238274808559747,3.9522296073687433,0.19191666666666668,1
x/y,14,53,0.05,matched_pairs,0.20006656387519306,0.05550340634884346,4.410353562239069,0.1905,1
"eml(x,y)",1,3,0.0001,additive_gaussian,0.00010018480887710131,8.330472064441756e-06,15.420834164275918,0.0,0
"eml(x,y)",1,3,0.0001,multiplicative_gaussian,0.0002139699493650566,2.4099536038412687e-05,14.326089738024876,0.0,0
"eml(x,y)",1,3,0.0001,1_over_f,7.83985242436733e-05,5.527523503680559e-05,15.774599529359556,0.0,0
"eml(x,y)",1,3,0.0001,matched_pairs,6.752937441009974e-05,1.9276664993752863e-05,15.989910834490312,0.0,0
"eml(x,y)",1,3,0.001,additive_gaussian,0.000986818657191802,9.388571304589869e-05,12.120712940028156,0.0,0
"eml(x,y)",1,3,0.001,multiplicative_gaussian,0.002173505034627502,0.0002632719495606735,10.981546399785527,0.0,0
"eml(x,y)",1,3,0.001,1_over_f,0.0009107473763199875,0.0006572464382089311,12.236446998238941,0.0,0
"eml(x,y)",1,3,0.001,matched_pairs,0.0006821401630546361,0.00019985162576709043,12.653429723981903,0.0,0
"eml(x,y)",1,3,0.005,additive_gaussian,0.004990855402510163,0.0004842930335732974,9.782282731228808,0.0,0
"eml(x,y)",1,3,0.005,multiplicative_gaussian,0.010847587273723525,0.0014486270470115724,8.66226754899152,0.0,0
"eml(x,y)",1,3,0.005,1_over_f,0.004327969276838413,0.0028869015154055896,9.987879579338284,0.0,0
"eml(x,y)",1,3,0.005,matched_pairs,0.0033404723869403796,0.0010893084543396772,10.361517703941178,0.0,0
"eml(x,y)",1,3,0.01,additive_gaussian,0.009906050701917187,0.000913514398560669,8.793259832106475,0.0,0
"eml(x,y)",1,3,0.01,multiplicative_gaussian,0.021593577454395524,0.0024736322490588195,7.669039464773682,0.0,0
"eml(x,y)",1,3,0.01,1_over_f,0.0084127244368623,0.006186103053041824,9.028996748379472,0.0,0
"eml(x,y)",1,3,0.01,matched_pairs,0.006890061785255891,0.002217838812196629,9.317052917143553,0.0,0
"eml(x,y)",1,3,0.02,additive_gaussian,0.01990416974031453,0.0019385576841976673,7.786571048564315,0.0,0
"eml(x,y)",1,3,0.02,multiplicative_gaussian,0.04325210173980674,0.005617929537350247,6.666871503310505,0.0,0
"eml(x,y)",1,3,0.02,1_over_f,0.016535477929043026,0.01246972938989993,8.054076997617747,0.0,0
"eml(x,y)",1,3,0.02,matched_pairs,0.01280314661592526,0.0032641810701507998,8.423143318872334,0.0,0
"eml(x,y)",1,3,0.05,additive_gaussian,0.04972754877878403,0.004497204439627169,6.465596424230799,0.0,0
"eml(x,y)",1,3,0.05,multiplicative_gaussian,0.107019486863881,0.013655390755766451,5.359840130789983,0.0,0
"eml(x,y)",1,3,0.05,1_over_f,0.04171692148135008,0.030930538739823783,6.7190090448561195,0.0,0
"eml(x,y)",1,3,0.05,matched_pairs,0.03415337982170549,0.011123524388292375,7.007613387505917,0.0,0
x^2+y^2,16,105,0.0001,additive_gaussian,0.002493528872719172,0.0004821622564341612,11.407782402121581,0.5333333333333333,1
x^2+y^2,16,105,0.0001,multiplicative_gaussian,0.0015689553679826052,0.0005885620644620834,12.076166997677674,0.9991666666666666,1
x^2+y^2,16,105,0.0001,1_over_f,0.00200619462283949,0.001225374192123061,11.721509740322196,0.5333333333333333,1
x^2+y^2,16,105,0.0001,matched_pairs,0.0013766649313896424,0.0003264159385386801,12.264793847855866,0.5333333333333333,1
x^2+y^2,16,105,0.001,additive_gaussian,0.024658027055032797,0.004519593729455579,8.101985844346824,0.5333333333333333,1
x^2+y^2,16,105,0.001,multiplicative_gaussian,0.032318715781477,0.025301279697314154,7.711673343177907,0.9989166666666667,1
x^2+y^2,16,105,0.001,1_over_f,0.019137267449028723,0.012318829640295077,8.467658368799551,0.5333333333333333,1
x^2+y^2,16,105,0.001,matched_pairs,0.013685211592833042,0.0033897300958018093,8.951425474393364,0.5333333333333333,1
x^2+y^2,16,105,0.005,additive_gaussian,0.1259633793346546,0.030172610398994645,5.749110752895288,0.5335833333333333,1
x^2+y^2,16,105,0.005,multiplicative_gaussian,0.05245834639427834,0.03486231988983906,7.012870884076609,0.9995,1
x^2+y^2,16,105,0.005,1_over_f,0.1098097705876167,0.07358645243036765,5.947108693193718,0.5335,1
x^2+y^2,16,105,0.005,matched_pairs,0.06556524307309858,0.014601251423025706,6.691111987960081,0.5333333333333333,1
x^2+y^2,16,105,0.01,additive_gaussian,0.2902913890633771,0.1228146957866545,4.544613342677083,0.5376666666666666,1
x^2+y^2,16,105,0.01,multiplicative_gaussian,0.1489113634651731,0.10156636545333345,5.50766126994082,0.9989166666666667,1
x^2+y^2,16,105,0.01,1_over_f,0.2232169602710548,0.16227627951426843,4.923668471604745,0.53675,1
x^2+y^2,16,105,0.01,matched_pairs,0.14290377384305583,0.04455708919635662,5.567071104465065,0.53425,1
x^2+y^2,16,105,0.02,additive_gaussian,0.505458565755816,0.16102921063070372,3.7445222863890266,0.5489166666666667,1
x^2+y^2,16,105,0.02,multiplicative_gaussian,0.3527988762847376,0.27689435660948436,4.263269154787171,0.9991666666666666,1
x^2+y^2,16,105,0.02,1_over_f,0.4180578402029955,0.27960654971561955,4.018412560964384,0.5524166666666667,1
x^2+y^2,16,105,0.02,matched_pairs,0.31601963128204974,0.15484391301395453,4.422100938445444,0.539,1
x^2+y^2,16,105,0.05,additive_gaussian,1.0108192311458422,0.24219804442938397,2.744662008238963,0.60125,1
x^2+y^2,16,105,0.05,multiplicative_gaussian,0.6525610271996389,0.5917509790867644,3.3760022923464414,0.9988333333333334,1
x^2+y^2,16,105,0.05,1_over_f,0.8661616359616372,0.5150072337131724,2.9674788465384614,0.6045833333333334,1
x^2+y^2,16,105,0.05,matched_pairs,0.5924436475999051,0.1664873599060748,3.515437187068977,0.56975,1
exp(exp(x)),2,5,0.0001,additive_gaussian,0.002651341877833836,0.0005426591371721861,14.979704839399508,0.0,0
exp(exp(x)),2,5,0.0001,multiplicative_gaussian,0.010409195681808918,0.002517825047724996,13.006640859378358,0.0,0
exp(exp(x)),2,5,0.0001,1_over_f,0.002258626746210638,0.0015269507039335779,15.210981675181344,0.0,0
exp(exp(x)),2,5,0.0001,matched_pairs,0.001890443072724759,0.0007279299835745004,15.46770314438725,0.0,0
exp(exp(x)),2,5,0.001,additive_gaussian,0.026761976318452892,0.006099946775462489,11.644314795268137,0.0,0
